Opponent,Results,Score,PlusMinus
Boston College,L, 77_70 ,-9.8
Columbia,W, 65_63 ,-1.3
UNC Asheville,W, 98_79 ,6.7
Charlotte,L, 67_65 OT,-2.7
Davidson,W, 82_70 ,8.8
College of Charleston,W, 65_56 ,4.6
Long Beach St.,W, 88_75 ,5.2
Arizona,L, 73_66 ,-6.3
Penn St.,L, 76_54 ,-12.2
North Carolina St.,L, 91_82 ,-9.8
Xavier,W, 80_78 ,4.1
North Carolina A&T,W, 76_64 ,2.3
Pittsburgh,W, 69_65 ,-2.7
Florida St.,L, 78_68 ,-5.4
Duke,L, 90_59 ,-17.9
Virginia Tech,L, 80_70 ,-6
Boston College,W, 80_62 ,8.4
Clemson,L, 71_68 ,2.6
Virginia,L, 65_63 OT,0.5
Notre Dame,L, 90_80 ,-0.8
Clemson,W, 56_44 ,5
Louisville,L, 86_76 ,3.2
Syracuse,L, 75_73 ,-5.6
North Carolina,W, 74_57 ,12.7
Miami FL,L, 71_54 ,-8.2
Georgia Tech,L, 86_79 ,-3.6
Duke,W, 113_101 2OT,0.1
Notre Dame,W, 84_73 ,5.5
North Carolina,L, 93_83 ,-4.6
North Carolina St.,L, 84_64 ,-10.7
Pittsburgh,L, 81_72 ,0.8
